Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.407443e-01   6.127927e+01   1.083500e+00
  1.458909e-01   6.093872e+01   1.023860e+00
  1.510375e-01   5.977384e+01   9.680524e-01
  1.561841e-01   6.090879e+01   9.346913e-01
  1.613306e-01   6.119199e+01   8.912053e-01
  1.664772e-01   6.004797e+01   8.669688e-01
  1.716238e-01   6.063469e+01   8.327110e-01
  1.767703e-01   6.062427e+01   7.876952e-01
  1.819169e-01   5.993149e+01   7.745391e-01
  1.870635e-01   5.956427e+01   7.562969e-01
  1.922101e-01   5.881836e+01   7.158256e-01
  1.973566e-01   5.939369e+01   7.088982e-01
  2.025032e-01   6.021911e+01   6.902786e-01
  2.076498e-01   5.830601e+01   6.670766e-01
  2.127963e-01   5.820269e+01   6.601905e-01
  2.179429e-01   5.966072e+01   6.386693e-01
  2.230895e-01   5.924283e+01   6.183894e-01
  2.282360e-01   5.786025e+01   6.115831e-01
  2.333826e-01   5.751096e+01   5.996469e-01
  2.385292e-01   5.835254e+01   5.885991e-01
  2.436758e-01   5.787898e+01   5.778678e-01
  2.488223e-01   5.780674e+01   5.676099e-01
  2.539689e-01   5.690371e+01   5.553195e-01
  2.591155e-01   5.674755e+01   5.501075e-01
  2.642620e-01   5.644805e+01   5.388578e-01
  2.694086e-01   5.708040e+01   5.301731e-01
  2.745552e-01   5.603479e+01   5.218536e-01
  2.797018e-01   5.613453e+01   5.159594e-01
  2.848483e-01   5.524489e+01   5.053596e-01
  2.899949e-01   5.553458e+01   5.070682e-01
  2.951415e-01   5.523394e+01   5.109072e-01
  3.002880e-01   5.468553e+01   5.097314e-01
  3.054346e-01   5.544276e+01   5.111799e-01
  3.105812e-01   5.433756e+01   5.071923e-01
  3.157277e-01   5.320750e+01   5.030575e-01
  3.208743e-01   5.371242e+01   4.969057e-01
  3.260209e-01   5.416985e+01   5.009268e-01
  3.311675e-01   5.444204e+01   4.974611e-01
  3.363140e-01   5.248574e+01   4.949037e-01
  3.414606e-01   5.245514e+01   4.901397e-01
  3.466072e-01   5.277106e+01   4.867795e-01
  3.517537e-01   5.247410e+01   4.828333e-01
  3.569003e-01   5.279431e+01   4.733359e-01
  3.620469e-01   5.186525e+01   4.576374e-01
  3.671934e-01   5.180285e+01   4.506532e-01
  3.723400e-01   5.142696e+01   4.482368e-01
  3.774866e-01   5.099675e+01   4.388229e-01
  3.826332e-01   5.146843e+01   4.334669e-01
  3.877797e-01   5.030769e+01   4.308037e-01
  3.929263e-01   5.045982e+01   4.230961e-01
  3.980729e-01   5.025671e+01   4.189171e-01
  4.032194e-01   4.928316e+01   4.136557e-01
  4.083660e-01   4.919405e+01   4.040873e-01
  4.135126e-01   4.900403e+01   4.022622e-01
  4.186592e-01   4.826349e+01   4.002622e-01
  4.238057e-01   4.804792e+01   3.938533e-01
  4.289523e-01   4.764709e+01   3.891566e-01
  4.340989e-01   4.748272e+01   3.869704e-01
  4.392454e-01   4.770450e+01   3.853475e-01
  4.443920e-01   4.730164e+01   3.804995e-01
  4.495386e-01   4.811493e+01   3.792028e-01
  4.546851e-01   4.686084e+01   3.712102e-01
