Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.510375e-01   4.341073e+01   8.524384e-01
  1.561841e-01   4.380419e+01   8.209082e-01
  1.613306e-01   4.457654e+01   7.812620e-01
  1.664772e-01   4.298248e+01   7.570637e-01
  1.716238e-01   4.281382e+01   7.223706e-01
  1.767703e-01   4.435140e+01   6.871024e-01
  1.819169e-01   4.328809e+01   6.739602e-01
  1.870635e-01   4.263280e+01   6.555223e-01
  1.922101e-01   4.239616e+01   6.202240e-01
  1.973566e-01   4.207610e+01   6.123614e-01
  2.025032e-01   4.239373e+01   5.948992e-01
  2.076498e-01   4.143792e+01   5.737928e-01
  2.127963e-01   4.225038e+01   5.695894e-01
  2.179429e-01   4.193165e+01   5.463089e-01
  2.230895e-01   4.207487e+01   5.305199e-01
  2.282360e-01   4.288733e+01   5.277923e-01
  2.333826e-01   4.227806e+01   5.168829e-01
  2.385292e-01   4.146479e+01   5.024478e-01
  2.436758e-01   4.152277e+01   4.933624e-01
  2.488223e-01   4.188180e+01   4.860318e-01
  2.539689e-01   4.007425e+01   4.726581e-01
  2.591155e-01   4.214599e+01   4.727143e-01
  2.642620e-01   4.068364e+01   4.604305e-01
  2.694086e-01   4.087021e+01   4.523852e-01
  2.745552e-01   4.064027e+01   4.454117e-01
  2.797018e-01   4.117151e+01   4.405253e-01
  2.848483e-01   4.053443e+01   4.325179e-01
  2.899949e-01   4.015264e+01   4.327483e-01
  2.951415e-01   3.959759e+01   4.356555e-01
  3.002880e-01   3.922781e+01   4.343317e-01
  3.054346e-01   3.944468e+01   4.337883e-01
  3.105812e-01   3.824357e+01   4.293936e-01
  3.157277e-01   3.891553e+01   4.295661e-01
  3.208743e-01   3.833004e+01   4.232770e-01
  3.260209e-01   3.906560e+01   4.261445e-01
  3.311675e-01   3.860631e+01   4.217536e-01
  3.363140e-01   3.858342e+01   4.224703e-01
  3.414606e-01   3.817393e+01   4.185974e-01
  3.466072e-01   3.876661e+01   4.148594e-01
  3.517537e-01   3.777092e+01   4.106746e-01
  3.569003e-01   3.801564e+01   4.025576e-01
  3.620469e-01   3.766365e+01   3.896978e-01
  3.671934e-01   3.698441e+01   3.822775e-01
  3.723400e-01   3.685505e+01   3.814654e-01
  3.774866e-01   3.644246e+01   3.722813e-01
  3.826332e-01   3.699311e+01   3.683685e-01
  3.877797e-01   3.644013e+01   3.669720e-01
  3.929263e-01   3.587271e+01   3.593279e-01
  3.980729e-01   3.649012e+01   3.571247e-01
  4.032194e-01   3.604819e+01   3.525406e-01
  4.083660e-01   3.611401e+01   3.454968e-01
  4.135126e-01   3.589754e+01   3.438300e-01
  4.186592e-01   3.548632e+01   3.419460e-01
  4.238057e-01   3.480439e+01   3.349480e-01
  4.289523e-01   3.474034e+01   3.321261e-01
  4.340989e-01   3.453969e+01   3.304953e-01
  4.392454e-01   3.397420e+01   3.277228e-01
  4.443920e-01   3.401216e+01   3.239160e-01
  4.495386e-01   3.429528e+01   3.222874e-01
  4.546851e-01   3.300195e+01   3.153697e-01
  4.598317e-01   3.301329e+01   3.146187e-01
  4.649783e-01   3.271200e+01   3.154289e-01
  4.701249e-01   3.366406e+01   3.190939e-01
  4.752714e-01   3.256029e+01   3.175530e-01
  4.804180e-01   3.221890e+01   3.207623e-01
  4.855646e-01   3.275513e+01   3.195997e-01
  4.907111e-01   3.172308e+01   3.190367e-01
  4.958577e-01   3.161969e+01   3.192909e-01
  5.010043e-01   3.128038e+01   3.183084e-01
  5.061509e-01   3.118936e+01   3.184585e-01
  5.112974e-01   3.081796e+01   3.207147e-01
  5.164440e-01   3.137086e+01   3.175398e-01
  5.215906e-01   3.125144e+01   3.162013e-01
  5.267371e-01   3.033691e+01   3.150131e-01
  5.318837e-01   3.010176e+01   3.144419e-01
  5.370303e-01   3.023806e+01   3.037165e-01
  5.421768e-01   3.050069e+01   3.018024e-01
  5.473234e-01   2.980292e+01   2.988043e-01
  5.524700e-01   2.919444e+01   2.925348e-01
  5.576166e-01   2.948305e+01   2.926431e-01
  5.627631e-01   2.915014e+01   2.893196e-01
  5.679097e-01   2.893594e+01   2.845669e-01
  5.730563e-01   2.891653e+01   2.834385e-01
  5.782028e-01   2.824781e+01   2.815412e-01
  5.833494e-01   2.845054e+01   2.772405e-01
  5.884960e-01   2.790545e+01   2.766691e-01
  5.936426e-01   2.798905e+01   2.772211e-01
  5.987891e-01   2.755240e+01   2.711600e-01
  6.039357e-01   2.713953e+01   2.707254e-01
  6.090823e-01   2.708526e+01   2.695974e-01
  6.142288e-01   2.733034e+01   2.658318e-01
  6.193754e-01   2.649714e+01   2.639069e-01
  6.245220e-01   2.638415e+01   2.634555e-01
  6.296685e-01   2.589976e+01   2.602482e-01
  6.348151e-01   2.562413e+01   2.597950e-01
  6.399617e-01   2.614788e+01   2.597214e-01
  6.451083e-01   2.553938e+01   2.561281e-01
  6.502548e-01   2.516040e+01   2.538757e-01
  6.554014e-01   2.502324e+01   2.529271e-01
  6.605480e-01   2.446259e+01   2.519417e-01
  6.656945e-01   2.453160e+01   2.558073e-01
  6.708411e-01   2.440598e+01   2.583836e-01
  6.759877e-01   2.379432e+01   2.563325e-01
  6.811343e-01   2.389914e+01   2.566903e-01
  6.862808e-01   2.364808e+01   2.568424e-01
  6.914274e-01   2.342836e+01   2.500150e-01
  6.965740e-01   2.324005e+01   2.466377e-01
  7.017205e-01   2.247309e+01   2.462675e-01
  7.068671e-01   2.291253e+01   2.434420e-01
  7.120137e-01   2.250029e+01   2.407497e-01
  7.171602e-01   2.268888e+01   2.415463e-01
  7.223068e-01   2.230832e+01   2.378823e-01
  7.274534e-01   2.230429e+01   2.362455e-01
  7.326000e-01   2.171748e+01   2.351452e-01
  7.377465e-01   2.148711e+01   2.319737e-01
  7.428931e-01   2.171799e+01   2.309839e-01
  7.480397e-01   2.135689e+01   2.300011e-01
  7.531862e-01   2.112092e+01   2.277515e-01
  7.583328e-01   2.129205e+01   2.279772e-01
  7.634794e-01   2.056872e+01   2.279932e-01
  7.686259e-01   2.063580e+01   2.259260e-01
  7.737725e-01   2.046191e+01   2.244391e-01
  7.789191e-01   2.010308e+01   2.246130e-01
  7.840657e-01   1.962075e+01   2.211232e-01
  7.892122e-01   1.954155e+01   2.200418e-01
  7.943588e-01   1.940641e+01   2.208782e-01
  7.995054e-01   1.940533e+01   2.188224e-01
  8.046519e-01   1.867781e+01   2.171267e-01
  8.097985e-01   1.850283e+01   2.167444e-01
  8.149451e-01   1.841355e+01   2.133238e-01
  8.200917e-01   1.837587e+01   2.133721e-01
  8.252382e-01   1.797869e+01   2.130141e-01
  8.303848e-01   1.832199e+01   2.107329e-01
  8.355314e-01   1.795791e+01   2.096402e-01
  8.406779e-01   1.797867e+01   2.093700e-01
  8.458245e-01   1.765191e+01   2.080420e-01
  8.509711e-01   1.770806e+01   2.076081e-01
  8.561176e-01   1.682943e+01   2.063560e-01
  8.612642e-01   1.679757e+01   2.054439e-01
  8.664108e-01   1.687170e+01   2.044283e-01
  8.715574e-01   1.630783e+01   2.043454e-01
  8.767039e-01   1.619198e+01   2.018628e-01
  8.818505e-01   1.590965e+01   2.014407e-01
  8.869971e-01   1.582031e+01   2.006015e-01
  8.921436e-01   1.594572e+01   2.018286e-01
  8.972902e-01   1.545359e+01   1.980442e-01
  9.024368e-01   1.551155e+01   1.993482e-01
  9.075834e-01   1.531098e+01   1.977127e-01
  9.127299e-01   1.542659e+01   1.961896e-01
  9.178765e-01   1.513859e+01   1.967762e-01
  9.230231e-01   1.460942e+01   1.992638e-01
  9.281696e-01   1.484663e+01   1.975682e-01
  9.333162e-01   1.473647e+01   1.991170e-01
  9.384628e-01   1.370442e+01   1.980886e-01
  9.436093e-01   1.436613e+01   1.969286e-01
  9.487559e-01   1.394491e+01   1.982699e-01
  9.539025e-01   1.397763e+01   1.986468e-01
  9.590491e-01   1.338626e+01   1.956376e-01
  9.641956e-01   1.355486e+01   1.972367e-01
  9.693422e-01   1.293209e+01   1.966603e-01
  9.744888e-01   1.356644e+01   1.959934e-01
  9.796353e-01   1.300831e+01   1.961058e-01
  9.847819e-01   1.282495e+01   1.959596e-01
  9.899285e-01   1.276974e+01   1.948932e-01
  9.950751e-01   1.263839e+01   1.953271e-01
  1.000222e+00   1.245971e+01   1.950725e-01
  1.005368e+00   1.243873e+01   1.951644e-01
  1.010515e+00   1.195425e+01   1.964320e-01
  1.015661e+00   1.196761e+01   1.978873e-01
  1.020808e+00   1.196740e+01   1.974733e-01
  1.025954e+00   1.194278e+01   1.983628e-01
  1.031101e+00   1.138139e+01   1.975974e-01
  1.036248e+00   1.146651e+01   1.981055e-01
  1.041394e+00   1.159264e+01   1.983175e-01
  1.046541e+00   1.093476e+01   1.976459e-01
  1.051687e+00   1.083924e+01   1.965726e-01
  1.056834e+00   1.084165e+01   1.969916e-01
  1.061980e+00   1.088154e+01   1.965698e-01
  1.067127e+00   1.043153e+01   1.958742e-01
  1.072274e+00   1.046248e+01   1.943122e-01
  1.077420e+00   1.053176e+01   1.953101e-01
  1.082567e+00   1.028304e+01   1.939663e-01
  1.087713e+00   9.814206e+00   1.933650e-01
  1.092860e+00   1.005293e+01   1.938826e-01
  1.098006e+00   9.641420e+00   1.927664e-01
  1.103153e+00   9.661995e+00   1.926729e-01
  1.108300e+00   9.412390e+00   1.927459e-01
  1.113446e+00   9.393819e+00   1.943735e-01
  1.118593e+00   9.242992e+00   1.943513e-01
  1.123739e+00   8.945971e+00   1.956694e-01
  1.128886e+00   9.202516e+00   1.950462e-01
  1.134032e+00   9.049071e+00   1.941932e-01
  1.139179e+00   8.742103e+00   1.947406e-01
  1.144326e+00   8.985300e+00   1.938685e-01
  1.149472e+00   8.470963e+00   1.946327e-01
  1.154619e+00   8.312386e+00   1.935949e-01
  1.159765e+00   8.427336e+00   1.937327e-01
  1.164912e+00   8.620337e+00   1.932625e-01
  1.170058e+00   8.061932e+00   1.925388e-01
  1.175205e+00   7.723929e+00   1.911328e-01
  1.180352e+00   7.768806e+00   1.892760e-01
  1.185498e+00   7.336226e+00   1.884443e-01
  1.190645e+00   7.480818e+00   1.878827e-01
  1.195791e+00   7.372119e+00   1.865265e-01
  1.200938e+00   7.152771e+00   1.855780e-01
  1.206084e+00   7.095044e+00   1.843322e-01
  1.211231e+00   6.991307e+00   1.832422e-01
  1.216378e+00   6.676460e+00   1.831220e-01
  1.221524e+00   7.200698e+00   1.827282e-01
  1.226671e+00   6.957054e+00   1.835588e-01
  1.231817e+00   6.868696e+00   1.875409e-01
  1.236964e+00   7.080124e+00   1.864862e-01
  1.242110e+00   6.993019e+00   1.858345e-01
  1.247257e+00   6.364343e+00   1.868299e-01
  1.252404e+00   6.843603e+00   1.864354e-01
  1.257550e+00   6.413854e+00   1.865449e-01
  1.262697e+00   6.394545e+00   1.864780e-01
  1.267843e+00   6.252258e+00   1.859292e-01
  1.272990e+00   5.894176e+00   1.850839e-01
  1.278136e+00   6.111326e+00   1.877296e-01
  1.283283e+00   5.763404e+00   1.848462e-01
  1.288430e+00   6.015844e+00   1.870077e-01
  1.293576e+00   5.660354e+00   1.898691e-01
  1.298723e+00   5.612854e+00   1.905167e-01
  1.303869e+00   5.595289e+00   1.920818e-01
  1.309016e+00   5.713190e+00   1.939431e-01
  1.314162e+00   5.313518e+00   1.931818e-01
  1.319309e+00   5.497030e+00   1.955139e-01
  1.324456e+00   5.288860e+00   1.956962e-01
  1.329602e+00   5.362255e+00   1.942803e-01
  1.334749e+00   5.141481e+00   1.966083e-01
  1.339895e+00   5.024038e+00   1.958267e-01
  1.345042e+00   4.844398e+00   1.960156e-01
  1.350188e+00   4.821346e+00   1.967311e-01
  1.355335e+00   4.621471e+00   1.959482e-01
