Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.458909e-01   9.274608e+00   7.907779e-01
  1.510375e-01   8.022676e+00   7.387484e-01
  1.561841e-01   8.585869e+00   7.048054e-01
  1.613306e-01   8.178384e+00   6.683933e-01
  1.664772e-01   9.303540e+00   6.441218e-01
  1.716238e-01   8.336515e+00   6.110660e-01
  1.767703e-01   8.957586e+00   5.745100e-01
  1.819169e-01   8.714626e+00   5.624950e-01
  1.870635e-01   8.902313e+00   5.444077e-01
  1.922101e-01   8.753916e+00   5.138047e-01
  1.973566e-01   8.789328e+00   5.036251e-01
  2.025032e-01   8.083764e+00   4.856935e-01
  2.076498e-01   8.580912e+00   4.697438e-01
  2.127963e-01   7.499214e+00   4.618770e-01
  2.179429e-01   8.804363e+00   4.414883e-01
  2.230895e-01   8.425743e+00   4.262070e-01
  2.282360e-01   8.621281e+00   4.209638e-01
  2.333826e-01   7.867817e+00   4.093849e-01
  2.385292e-01   7.884167e+00   4.011659e-01
  2.436758e-01   8.503834e+00   3.911732e-01
  2.488223e-01   8.036870e+00   3.823222e-01
  2.539689e-01   8.295863e+00   3.748813e-01
  2.591155e-01   7.884231e+00   3.702461e-01
  2.642620e-01   8.122337e+00   3.614618e-01
  2.694086e-01   7.771214e+00   3.544121e-01
  2.745552e-01   8.075953e+00   3.482543e-01
  2.797018e-01   8.071640e+00   3.430325e-01
  2.848483e-01   7.889191e+00   3.372105e-01
  2.899949e-01   7.925420e+00   3.349065e-01
  2.951415e-01   7.804764e+00   3.378412e-01
  3.002880e-01   7.524136e+00   3.373437e-01
  3.054346e-01   8.557283e+00   3.364083e-01
  3.105812e-01   8.055708e+00   3.336080e-01
  3.157277e-01   7.959753e+00   3.314192e-01
  3.208743e-01   7.924198e+00   3.266435e-01
  3.260209e-01   7.565415e+00   3.282306e-01
  3.311675e-01   8.008742e+00   3.251424e-01
  3.363140e-01   8.307950e+00   3.258851e-01
  3.414606e-01   7.306597e+00   3.228061e-01
  3.466072e-01   7.739643e+00   3.188582e-01
  3.517537e-01   8.054832e+00   3.170592e-01
  3.569003e-01   7.974568e+00   3.105020e-01
  3.620469e-01   7.736845e+00   3.007354e-01
  3.671934e-01   7.319135e+00   2.949049e-01
  3.723400e-01   7.605378e+00   2.942485e-01
  3.774866e-01   7.842457e+00   2.886138e-01
  3.826332e-01   6.890369e+00   2.833936e-01
  3.877797e-01   7.613549e+00   2.835839e-01
  3.929263e-01   7.180007e+00   2.773097e-01
  3.980729e-01   7.181702e+00   2.747838e-01
  4.032194e-01   8.016662e+00   2.718886e-01
  4.083660e-01   7.624946e+00   2.657082e-01
  4.135126e-01   7.212714e+00   2.642573e-01
  4.186592e-01   7.142911e+00   2.650668e-01
  4.238057e-01   6.980276e+00   2.601705e-01
  4.289523e-01   6.901367e+00   2.568161e-01
  4.340989e-01   7.566267e+00   2.560518e-01
  4.392454e-01   6.776491e+00   2.542955e-01
  4.443920e-01   6.704894e+00   2.514059e-01
  4.495386e-01   6.630919e+00   2.497541e-01
  4.546851e-01   7.127670e+00   2.463880e-01
  4.598317e-01   6.818981e+00   2.456975e-01
  4.649783e-01   6.991893e+00   2.462409e-01
  4.701249e-01   6.729811e+00   2.486068e-01
  4.752714e-01   6.715037e+00   2.479748e-01
  4.804180e-01   7.050047e+00   2.507508e-01
  4.855646e-01   6.708499e+00   2.490387e-01
  4.907111e-01   6.447685e+00   2.498497e-01
  4.958577e-01   6.311975e+00   2.503562e-01
  5.010043e-01   6.369623e+00   2.492727e-01
  5.061509e-01   6.770830e+00   2.499274e-01
  5.112974e-01   5.975554e+00   2.522024e-01
  5.164440e-01   6.331356e+00   2.474895e-01
  5.215906e-01   6.323116e+00   2.483049e-01
  5.267371e-01   6.529737e+00   2.477745e-01
  5.318837e-01   6.299107e+00   2.469398e-01
  5.370303e-01   6.247694e+00   2.391412e-01
  5.421768e-01   6.116990e+00   2.381838e-01
  5.473234e-01   5.946722e+00   2.354051e-01
  5.524700e-01   6.159935e+00   2.310171e-01
  5.576166e-01   5.941191e+00   2.309904e-01
  5.627631e-01   5.832045e+00   2.287432e-01
  5.679097e-01   6.013521e+00   2.258414e-01
  5.730563e-01   5.898736e+00   2.242337e-01
  5.782028e-01   5.787734e+00   2.238183e-01
  5.833494e-01   6.147703e+00   2.202904e-01
  5.884960e-01   6.275109e+00   2.201192e-01
  5.936426e-01   6.124553e+00   2.207561e-01
  5.987891e-01   5.885050e+00   2.157732e-01
  6.039357e-01   5.575258e+00   2.163492e-01
  6.090823e-01   5.486073e+00   2.152167e-01
  6.142288e-01   5.463608e+00   2.126205e-01
  6.193754e-01   5.510326e+00   2.113263e-01
  6.245220e-01   5.857030e+00   2.110998e-01
  6.296685e-01   5.623830e+00   2.093233e-01
  6.348151e-01   5.284597e+00   2.092641e-01
  6.399617e-01   5.635884e+00   2.086667e-01
  6.451083e-01   5.512212e+00   2.054636e-01
  6.502548e-01   5.393282e+00   2.053294e-01
  6.554014e-01   5.287214e+00   2.041729e-01
  6.605480e-01   5.343269e+00   2.039423e-01
  6.656945e-01   5.618527e+00   2.069943e-01
  6.708411e-01   5.260026e+00   2.091941e-01
  6.759877e-01   4.900416e+00   2.082810e-01
  6.811343e-01   5.126657e+00   2.086316e-01
  6.862808e-01   5.232497e+00   2.090215e-01
  6.914274e-01   5.165775e+00   2.035127e-01
  6.965740e-01   4.888412e+00   2.015147e-01
  7.017205e-01   4.698360e+00   2.017725e-01
  7.068671e-01   5.042498e+00   1.990763e-01
  7.120137e-01   4.821034e+00   1.978012e-01
  7.171602e-01   4.578210e+00   1.976539e-01
  7.223068e-01   4.870102e+00   1.952327e-01
  7.274534e-01   4.969923e+00   1.935857e-01
  7.326000e-01   4.425071e+00   1.933711e-01
  7.377465e-01   4.563920e+00   1.909145e-01
  7.428931e-01   4.583056e+00   1.899322e-01
  7.480397e-01   4.539346e+00   1.899445e-01
  7.531862e-01   4.342198e+00   1.881090e-01
  7.583328e-01   4.533746e+00   1.881386e-01
  7.634794e-01   4.451139e+00   1.887495e-01
  7.686259e-01   4.245722e+00   1.872169e-01
  7.737725e-01   4.392479e+00   1.853607e-01
  7.789191e-01   4.461600e+00   1.860522e-01
  7.840657e-01   4.463352e+00   1.838156e-01
  7.892122e-01   4.225496e+00   1.830410e-01
  7.943588e-01   4.151693e+00   1.834008e-01
  7.995054e-01   4.245608e+00   1.823435e-01
  8.046519e-01   4.213783e+00   1.815079e-01
  8.097985e-01   4.131761e+00   1.816838e-01
  8.149451e-01   4.006756e+00   1.794718e-01
  8.200917e-01   3.927097e+00   1.787673e-01
  8.252382e-01   3.782497e+00   1.786449e-01
  8.303848e-01   3.833769e+00   1.764388e-01
  8.355314e-01   3.953079e+00   1.761849e-01
  8.406779e-01   3.912049e+00   1.758860e-01
  8.458245e-01   3.850298e+00   1.753611e-01
  8.509711e-01   3.758065e+00   1.748689e-01
  8.561176e-01   3.552461e+00   1.745235e-01
  8.612642e-01   3.895902e+00   1.735832e-01
  8.664108e-01   3.714673e+00   1.728932e-01
  8.715574e-01   3.913691e+00   1.735369e-01
  8.767039e-01   3.617547e+00   1.718302e-01
  8.818505e-01   3.762540e+00   1.713369e-01
  8.869971e-01   3.651423e+00   1.704760e-01
  8.921436e-01   3.606846e+00   1.713753e-01
  8.972902e-01   3.704480e+00   1.693462e-01
  9.024368e-01   3.381014e+00   1.699542e-01
  9.075834e-01   3.429306e+00   1.690033e-01
  9.127299e-01   3.468425e+00   1.673980e-01
  9.178765e-01   3.377576e+00   1.684050e-01
  9.230231e-01   3.694365e+00   1.710654e-01
  9.281696e-01   3.331628e+00   1.694415e-01
  9.333162e-01   3.458436e+00   1.711924e-01
  9.384628e-01   2.972083e+00   1.708784e-01
  9.436093e-01   3.486698e+00   1.693484e-01
  9.487559e-01   3.346074e+00   1.709004e-01
  9.539025e-01   2.880426e+00   1.711874e-01
  9.590491e-01   2.865518e+00   1.693956e-01
  9.641956e-01   2.810705e+00   1.702437e-01
  9.693422e-01   3.304500e+00   1.705179e-01
  9.744888e-01   2.734732e+00   1.693944e-01
  9.796353e-01   2.976384e+00   1.699947e-01
  9.847819e-01   2.977215e+00   1.700357e-01
  9.899285e-01   2.966577e+00   1.692754e-01
  9.950751e-01   2.661810e+00   1.696104e-01
  1.000222e+00   2.754701e+00   1.699139e-01
  1.005368e+00   2.953848e+00   1.698149e-01
  1.010515e+00   2.544076e+00   1.715728e-01
  1.015661e+00   2.648714e+00   1.728179e-01
  1.020808e+00   2.636779e+00   1.721726e-01
  1.025954e+00   2.522716e+00   1.728187e-01
  1.031101e+00   2.428711e+00   1.731191e-01
  1.036248e+00   2.791009e+00   1.734068e-01
  1.041394e+00   2.679986e+00   1.739905e-01
  1.046541e+00   2.272432e+00   1.736334e-01
  1.051687e+00   2.456329e+00   1.726592e-01
  1.056834e+00   2.290090e+00   1.730833e-01
  1.061980e+00   2.424217e+00   1.728466e-01
  1.067127e+00   2.530773e+00   1.727422e-01
  1.072274e+00   2.332273e+00   1.711544e-01
  1.077420e+00   2.450232e+00   1.721959e-01
  1.082567e+00   2.656527e+00   1.713720e-01
  1.087713e+00   2.439955e+00   1.710151e-01
  1.092860e+00   2.599240e+00   1.712422e-01
  1.098006e+00   2.399737e+00   1.707715e-01
  1.103153e+00   2.347593e+00   1.708756e-01
  1.108300e+00   2.421759e+00   1.706155e-01
  1.113446e+00   2.166458e+00   1.724605e-01
  1.118593e+00   2.287395e+00   1.723770e-01
  1.123739e+00   2.070091e+00   1.742786e-01
  1.128886e+00   2.244347e+00   1.732593e-01
  1.134032e+00   1.964218e+00   1.735612e-01
  1.139179e+00   2.314445e+00   1.733820e-01
  1.144326e+00   2.040438e+00   1.725683e-01
  1.149472e+00   2.235526e+00   1.743265e-01
  1.154619e+00   1.795259e+00   1.730341e-01
  1.159765e+00   2.095125e+00   1.735432e-01
  1.164912e+00   1.650288e+00   1.726163e-01
  1.170058e+00   1.783438e+00   1.726946e-01
  1.175205e+00   1.668435e+00   1.715369e-01
  1.180352e+00   1.945626e+00   1.701776e-01
  1.185498e+00   1.728501e+00   1.696645e-01
  1.190645e+00   1.895091e+00   1.691177e-01
  1.195791e+00   1.409255e+00   1.677937e-01
  1.200938e+00   1.621707e+00   1.673885e-01
  1.206084e+00   1.730322e+00   1.662079e-01
  1.211231e+00   1.657893e+00   1.655296e-01
  1.216378e+00   1.859311e+00   1.656723e-01
  1.221524e+00   1.756263e+00   1.645561e-01
  1.226671e+00   1.604408e+00   1.659751e-01
  1.231817e+00   1.391533e+00   1.694264e-01
  1.236964e+00   1.721393e+00   1.683262e-01
  1.242110e+00   1.826287e+00   1.685607e-01
  1.247257e+00   1.544798e+00   1.696925e-01
  1.252404e+00   1.572581e+00   1.687723e-01
  1.257550e+00   1.731133e+00   1.692837e-01
  1.262697e+00   9.818394e-01   1.690888e-01
  1.267843e+00   1.417253e+00   1.690819e-01
  1.272990e+00   1.228523e+00   1.689937e-01
  1.278136e+00   1.355709e+00   1.709519e-01
  1.283283e+00   1.642072e+00   1.681955e-01
  1.288430e+00   1.397050e+00   1.704588e-01
  1.293576e+00   1.236640e+00   1.734262e-01
  1.298723e+00   1.321620e+00   1.737588e-01
  1.303869e+00   1.148039e+00   1.749167e-01
  1.309016e+00   1.720170e+00   1.768237e-01
  1.314162e+00   1.116094e+00   1.768236e-01
  1.319309e+00   1.286218e+00   1.785860e-01
  1.324456e+00   1.341121e+00   1.787629e-01
  1.329602e+00   1.198528e+00   1.778639e-01
  1.334749e+00   9.179099e-01   1.797474e-01
  1.339895e+00   1.067268e+00   1.797560e-01
  1.345042e+00   1.143982e+00   1.791149e-01
  1.350188e+00   1.416420e+00   1.806658e-01
  1.355335e+00   1.800249e+00   1.801059e-01
  1.360482e+00   1.181875e+00   1.775057e-01
  1.365628e+00   8.627094e-01   1.753994e-01
  1.370775e+00   1.218267e+00   1.756852e-01
