Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.407443e-01   1.315394e+01   8.071628e-01
  1.458909e-01   1.257799e+01   7.595663e-01
  1.510375e-01   1.352606e+01   7.124305e-01
  1.561841e-01   1.264636e+01   6.797336e-01
  1.613306e-01   1.180347e+01   6.422470e-01
  1.664772e-01   1.306469e+01   6.206115e-01
  1.716238e-01   1.182917e+01   5.903967e-01
  1.767703e-01   1.317317e+01   5.558573e-01
  1.819169e-01   1.303409e+01   5.436896e-01
  1.870635e-01   1.296270e+01   5.271915e-01
  1.922101e-01   1.271111e+01   4.977402e-01
  1.973566e-01   1.237964e+01   4.883221e-01
  2.025032e-01   1.237960e+01   4.721069e-01
  2.076498e-01   1.190764e+01   4.559857e-01
  2.127963e-01   1.228764e+01   4.475479e-01
  2.179429e-01   1.230747e+01   4.283870e-01
  2.230895e-01   1.191094e+01   4.131430e-01
  2.282360e-01   1.291176e+01   4.110914e-01
  2.333826e-01   1.217790e+01   3.986541e-01
  2.385292e-01   1.130689e+01   3.888475e-01
  2.436758e-01   1.283794e+01   3.805794e-01
  2.488223e-01   1.184336e+01   3.724928e-01
  2.539689e-01   1.211193e+01   3.648012e-01
  2.591155e-01   1.210966e+01   3.607131e-01
  2.642620e-01   1.168518e+01   3.519191e-01
  2.694086e-01   1.209150e+01   3.454594e-01
  2.745552e-01   1.182724e+01   3.392040e-01
  2.797018e-01   1.199437e+01   3.335586e-01
  2.848483e-01   1.187837e+01   3.288976e-01
  2.899949e-01   1.277523e+01   3.276832e-01
  2.951415e-01   1.179403e+01   3.298257e-01
  3.002880e-01   1.153194e+01   3.291664e-01
  3.054346e-01   1.132334e+01   3.265860e-01
  3.105812e-01   1.203798e+01   3.254851e-01
  3.157277e-01   1.141916e+01   3.224314e-01
  3.208743e-01   1.156089e+01   3.191490e-01
  3.260209e-01   1.082312e+01   3.205809e-01
  3.311675e-01   1.150337e+01   3.174057e-01
  3.363140e-01   1.130174e+01   3.176368e-01
  3.414606e-01   1.061243e+01   3.141610e-01
  3.466072e-01   1.118970e+01   3.118162e-01
  3.517537e-01   1.112424e+01   3.092390e-01
  3.569003e-01   1.094366e+01   3.023277e-01
  3.620469e-01   1.116454e+01   2.927652e-01
  3.671934e-01   1.112404e+01   2.885458e-01
  3.723400e-01   1.077802e+01   2.862775e-01
  3.774866e-01   1.083927e+01   2.820274e-01
  3.826332e-01   1.082483e+01   2.777390e-01
  3.877797e-01   1.067023e+01   2.758562e-01
  3.929263e-01   1.118815e+01   2.710641e-01
  3.980729e-01   1.075026e+01   2.686881e-01
  4.032194e-01   1.091921e+01   2.654445e-01
  4.083660e-01   1.032012e+01   2.590339e-01
  4.135126e-01   1.063424e+01   2.578849e-01
  4.186592e-01   1.026274e+01   2.580619e-01
  4.238057e-01   9.820216e+00   2.535540e-01
  4.289523e-01   1.015884e+01   2.512722e-01
  4.340989e-01   1.048612e+01   2.501923e-01
  4.392454e-01   1.020261e+01   2.483598e-01
  4.443920e-01   1.056555e+01   2.455268e-01
  4.495386e-01   1.011061e+01   2.435361e-01
  4.546851e-01   1.025230e+01   2.400115e-01
  4.598317e-01   9.554906e+00   2.389059e-01
  4.649783e-01   9.985685e+00   2.396673e-01
  4.701249e-01   9.270593e+00   2.414756e-01
  4.752714e-01   9.770568e+00   2.420114e-01
  4.804180e-01   9.763172e+00   2.438278e-01
  4.855646e-01   9.553714e+00   2.428698e-01
  4.907111e-01   9.452624e+00   2.439358e-01
  4.958577e-01   9.443576e+00   2.440128e-01
  5.010043e-01   9.159611e+00   2.426887e-01
  5.061509e-01   9.597947e+00   2.430146e-01
  5.112974e-01   9.120538e+00   2.457456e-01
  5.164440e-01   9.709121e+00   2.417378e-01
