Sample description: 
Sample:   c= 0 mg/ml  Code: 
  2.488223e-01   1.196623e+02   7.981452e-01
  2.539689e-01   1.186713e+02   7.814267e-01
  2.591155e-01   1.176056e+02   7.762301e-01
  2.642620e-01   1.181673e+02   7.606056e-01
  2.694086e-01   1.177701e+02   7.473385e-01
  2.745552e-01   1.168222e+02   7.374305e-01
  2.797018e-01   1.175789e+02   7.298687e-01
  2.848483e-01   1.163466e+02   7.178513e-01
  2.899949e-01   1.144437e+02   7.161319e-01
  2.951415e-01   1.156570e+02   7.267480e-01
  3.002880e-01   1.151403e+02   7.256569e-01
  3.054346e-01   1.140337e+02   7.238533e-01
  3.105812e-01   1.133896e+02   7.198277e-01
  3.157277e-01   1.134103e+02   7.170848e-01
  3.208743e-01   1.119560e+02   7.078004e-01
  3.260209e-01   1.127965e+02   7.126600e-01
  3.311675e-01   1.112393e+02   7.046748e-01
  3.363140e-01   1.106667e+02   7.066770e-01
  3.414606e-01   1.093371e+02   6.988536e-01
  3.466072e-01   1.091262e+02   6.902692e-01
  3.517537e-01   1.094694e+02   6.872129e-01
  3.569003e-01   1.085602e+02   6.717493e-01
  3.620469e-01   1.088969e+02   6.507295e-01
  3.671934e-01   1.077831e+02   6.413911e-01
  3.723400e-01   1.076116e+02   6.378884e-01
  3.774866e-01   1.050625e+02   6.233958e-01
  3.826332e-01   1.057994e+02   6.152850e-01
  3.877797e-01   1.041416e+02   6.111867e-01
  3.929263e-01   1.042020e+02   5.990026e-01
  3.980729e-01   1.044929e+02   5.940431e-01
  4.032194e-01   1.025404e+02   5.872378e-01
  4.083660e-01   1.023113e+02   5.741003e-01
  4.135126e-01   1.016544e+02   5.714442e-01
  4.186592e-01   1.010961e+02   5.688081e-01
  4.238057e-01   1.000992e+02   5.576836e-01
  4.289523e-01   9.951438e+01   5.534691e-01
  4.340989e-01   9.938454e+01   5.499321e-01
  4.392454e-01   9.846752e+01   5.448837e-01
  4.443920e-01   9.880499e+01   5.402887e-01
  4.495386e-01   9.768755e+01   5.340357e-01
  4.546851e-01   9.644345e+01   5.246220e-01
  4.598317e-01   9.691174e+01   5.244170e-01
  4.649783e-01   9.519524e+01   5.230492e-01
  4.701249e-01   9.505695e+01   5.276074e-01
  4.752714e-01   9.334229e+01   5.267759e-01
  4.804180e-01   9.317769e+01   5.308870e-01
  4.855646e-01   9.308335e+01   5.288323e-01
  4.907111e-01   9.229438e+01   5.295669e-01
  4.958577e-01   9.060983e+01   5.264714e-01
  5.010043e-01   9.053384e+01   5.253956e-01
  5.061509e-01   8.995964e+01   5.257224e-01
  5.112974e-01   8.826248e+01   5.285843e-01
  5.164440e-01   8.783260e+01   5.195457e-01
  5.215906e-01   8.693745e+01   5.178220e-01
  5.267371e-01   8.727039e+01   5.183978e-01
  5.318837e-01   8.719004e+01   5.168313e-01
  5.370303e-01   8.556632e+01   4.982897e-01
  5.421768e-01   8.424178e+01   4.935902e-01
  5.473234e-01   8.390531e+01   4.877639e-01
  5.524700e-01   8.398199e+01   4.791424e-01
  5.576166e-01   8.344356e+01   4.780548e-01
  5.627631e-01   8.267644e+01   4.717895e-01
  5.679097e-01   8.128328e+01   4.640319e-01
  5.730563e-01   8.065650e+01   4.614573e-01
  5.782028e-01   8.030523e+01   4.582058e-01
  5.833494e-01   7.970270e+01   4.514545e-01
  5.884960e-01   7.844244e+01   4.496925e-01
  5.936426e-01   7.797759e+01   4.498554e-01
  5.987891e-01   7.708800e+01   4.398818e-01
  6.039357e-01   7.705618e+01   4.394513e-01
  6.090823e-01   7.548157e+01   4.356908e-01
  6.142288e-01   7.568868e+01   4.302306e-01
  6.193754e-01   7.474924e+01   4.278382e-01
  6.245220e-01   7.435868e+01   4.260791e-01
  6.296685e-01   7.365614e+01   4.210175e-01
  6.348151e-01   7.285586e+01   4.202703e-01
  6.399617e-01   7.272896e+01   4.181769e-01
  6.451083e-01   7.085396e+01   4.115332e-01
  6.502548e-01   7.064888e+01   4.080158e-01
  6.554014e-01   6.986253e+01   4.066579e-01
  6.605480e-01   6.851164e+01   4.051298e-01
  6.656945e-01   6.827646e+01   4.096313e-01
  6.708411e-01   6.775320e+01   4.124848e-01
  6.759877e-01   6.731766e+01   4.110305e-01
  6.811343e-01   6.667218e+01   4.100619e-01
  6.862808e-01   6.624485e+01   4.093167e-01
  6.914274e-01   6.531620e+01   3.984209e-01
  6.965740e-01   6.430201e+01   3.921560e-01
  7.017205e-01   6.340479e+01   3.910804e-01
  7.068671e-01   6.404776e+01   3.874380e-01
  7.120137e-01   6.308253e+01   3.828281e-01
  7.171602e-01   6.237324e+01   3.825457e-01
  7.223068e-01   6.141809e+01   3.771509e-01
  7.274534e-01   6.118975e+01   3.738589e-01
  7.326000e-01   6.028148e+01   3.727838e-01
  7.377465e-01   5.924178e+01   3.664707e-01
  7.428931e-01   5.914725e+01   3.638454e-01
  7.480397e-01   5.758474e+01   3.619950e-01
  7.531862e-01   5.778308e+01   3.581793e-01
  7.583328e-01   5.667873e+01   3.573597e-01
  7.634794e-01   5.634535e+01   3.577353e-01
  7.686259e-01   5.549888e+01   3.538854e-01
  7.737725e-01   5.490866e+01   3.502507e-01
  7.789191e-01   5.490093e+01   3.521898e-01
  7.840657e-01   5.399358e+01   3.462130e-01
  7.892122e-01   5.354979e+01   3.439029e-01
  7.943588e-01   5.271233e+01   3.439199e-01
  7.995054e-01   5.298796e+01   3.412095e-01
  8.046519e-01   5.197955e+01   3.392781e-01
  8.097985e-01   5.122153e+01   3.378947e-01
  8.149451e-01   5.091766e+01   3.319704e-01
  8.200917e-01   5.025135e+01   3.314633e-01
  8.252382e-01   4.948858e+01   3.308618e-01
  8.303848e-01   4.909402e+01   3.263179e-01
  8.355314e-01   4.829275e+01   3.240372e-01
  8.406779e-01   4.807825e+01   3.227834e-01
  8.458245e-01   4.683559e+01   3.204434e-01
  8.509711e-01   4.653005e+01   3.192036e-01
  8.561176e-01   4.595826e+01   3.180752e-01
  8.612642e-01   4.575756e+01   3.169646e-01
  8.664108e-01   4.559871e+01   3.144300e-01
  8.715574e-01   4.408718e+01   3.141060e-01
  8.767039e-01   4.412829e+01   3.102169e-01
  8.818505e-01   4.355237e+01   3.088492e-01
  8.869971e-01   4.299950e+01   3.070163e-01
  8.921436e-01   4.259784e+01   3.079920e-01
  8.972902e-01   4.222931e+01   3.018725e-01
  9.024368e-01   4.115308e+01   3.035512e-01
  9.075834e-01   4.095958e+01   3.016670e-01
  9.127299e-01   4.087795e+01   2.984933e-01
  9.178765e-01   4.050830e+01   2.999451e-01
  9.230231e-01   3.943541e+01   3.032649e-01
  9.281696e-01   3.910315e+01   2.996980e-01
  9.333162e-01   3.848487e+01   3.009070e-01
  9.384628e-01   3.837455e+01   3.016409e-01
  9.436093e-01   3.746603e+01   2.973839e-01
  9.487559e-01   3.699812e+01   2.995283e-01
  9.539025e-01   3.708230e+01   3.007973e-01
  9.590491e-01   3.619567e+01   2.956377e-01
  9.641956e-01   3.564091e+01   2.966166e-01
  9.693422e-01   3.470501e+01   2.965788e-01
  9.744888e-01   3.505161e+01   2.941770e-01
  9.796353e-01   3.409851e+01   2.946742e-01
  9.847819e-01   3.382842e+01   2.942480e-01
  9.899285e-01   3.391398e+01   2.919835e-01
  9.950751e-01   3.298794e+01   2.921467e-01
  1.000222e+00   3.220243e+01   2.912811e-01
  1.005368e+00   3.209199e+01   2.901515e-01
  1.010515e+00   3.141474e+01   2.931870e-01
  1.015661e+00   3.133836e+01   2.953791e-01
  1.020808e+00   3.084866e+01   2.935004e-01
  1.025954e+00   3.012754e+01   2.941006e-01
  1.031101e+00   3.038239e+01   2.948524e-01
  1.036248e+00   3.012400e+01   2.933683e-01
  1.041394e+00   2.922869e+01   2.931944e-01
  1.046541e+00   2.927705e+01   2.930669e-01
  1.051687e+00   2.802954e+01   2.905874e-01
  1.056834e+00   2.834228e+01   2.917615e-01
  1.061980e+00   2.777712e+01   2.906772e-01
  1.067127e+00   2.750809e+01   2.893902e-01
  1.072274e+00   2.655487e+01   2.860705e-01
  1.077420e+00   2.680115e+01   2.880461e-01
  1.082567e+00   2.627884e+01   2.860352e-01
  1.087713e+00   2.567463e+01   2.843934e-01
  1.092860e+00   2.494449e+01   2.848546e-01
  1.098006e+00   2.505330e+01   2.823064e-01
  1.103153e+00   2.511689e+01   2.831742e-01
  1.108300e+00   2.422019e+01   2.815167e-01
  1.113446e+00   2.434102e+01   2.846842e-01
  1.118593e+00   2.379570e+01   2.842649e-01
  1.123739e+00   2.339678e+01   2.863809e-01
  1.128886e+00   2.325533e+01   2.849678e-01
  1.134032e+00   2.255899e+01   2.832218e-01
  1.139179e+00   2.229602e+01   2.823548e-01
  1.144326e+00   2.192807e+01   2.821219e-01
  1.149472e+00   2.170995e+01   2.825361e-01
  1.154619e+00   2.154072e+01   2.811896e-01
  1.159765e+00   2.064115e+01   2.807060e-01
  1.164912e+00   2.101819e+01   2.796770e-01
  1.170058e+00   2.034467e+01   2.788428e-01
  1.175205e+00   2.043100e+01   2.769198e-01
  1.180352e+00   1.952157e+01   2.733797e-01
  1.185498e+00   1.939752e+01   2.731567e-01
  1.190645e+00   1.932112e+01   2.717061e-01
  1.195791e+00   1.851814e+01   2.691382e-01
  1.200938e+00   1.799658e+01   2.679681e-01
  1.206084e+00   1.844416e+01   2.662496e-01
  1.211231e+00   1.782664e+01   2.639596e-01
  1.216378e+00   1.756721e+01   2.638611e-01
  1.221524e+00   1.738780e+01   2.621286e-01
  1.226671e+00   1.707015e+01   2.631029e-01
  1.231817e+00   1.704734e+01   2.691242e-01
  1.236964e+00   1.695446e+01   2.669244e-01
  1.242110e+00   1.643570e+01   2.661872e-01
  1.247257e+00   1.670502e+01   2.685186e-01
  1.252404e+00   1.627462e+01   2.663507e-01
  1.257550e+00   1.584374e+01   2.675334e-01
  1.262697e+00   1.554079e+01   2.663222e-01
  1.267843e+00   1.541974e+01   2.658034e-01
  1.272990e+00   1.530552e+01   2.647720e-01
  1.278136e+00   1.530782e+01   2.678160e-01
  1.283283e+00   1.490988e+01   2.634982e-01
  1.288430e+00   1.492895e+01   2.664898e-01
  1.293576e+00   1.464045e+01   2.710299e-01
  1.298723e+00   1.398654e+01   2.711063e-01
  1.303869e+00   1.373300e+01   2.729296e-01
  1.309016e+00   1.343235e+01   2.753671e-01
  1.314162e+00   1.324646e+01   2.742245e-01
  1.319309e+00   1.338220e+01   2.773334e-01
  1.324456e+00   1.275637e+01   2.773187e-01
  1.329602e+00   1.236275e+01   2.752069e-01
  1.334749e+00   1.276013e+01   2.780282e-01
  1.339895e+00   1.230932e+01   2.772653e-01
  1.345042e+00   1.236994e+01   2.768673e-01
  1.350188e+00   1.196325e+01   2.776660e-01
  1.355335e+00   1.159481e+01   2.774950e-01
  1.360482e+00   1.112574e+01   2.721714e-01
  1.365628e+00   1.125463e+01   2.692341e-01
  1.370775e+00   1.131483e+01   2.685056e-01
  1.375921e+00   1.091227e+01   2.664571e-01
  1.381068e+00   1.072055e+01   2.648047e-01
  1.386214e+00   1.053923e+01   2.667970e-01
  1.391361e+00   1.093577e+01   2.623683e-01
  1.396508e+00   1.016722e+01   2.620673e-01
  1.401654e+00   1.019971e+01   2.625489e-01
  1.406801e+00   1.018399e+01   2.633630e-01
  1.411947e+00   9.864655e+00   2.583461e-01
  1.417094e+00   9.475679e+00   2.606919e-01
  1.422240e+00   9.448828e+00   2.578376e-01
  1.427387e+00   9.236303e+00   2.571591e-01
  1.432534e+00   9.082278e+00   2.575977e-01
  1.437680e+00   8.726252e+00   2.565857e-01
  1.442827e+00   8.566628e+00   2.548060e-01
  1.447973e+00   9.242737e+00   2.582594e-01
  1.453120e+00   8.831726e+00   2.547388e-01
  1.458266e+00   8.215219e+00   2.523763e-01
  1.463413e+00   8.195767e+00   2.536895e-01
  1.468560e+00   7.813115e+00   2.512012e-01
  1.473706e+00   7.885217e+00   2.504845e-01
  1.478853e+00   7.745583e+00   2.522011e-01
  1.483999e+00   7.510455e+00   2.506367e-01
  1.489146e+00   8.423595e+00   2.508789e-01
  1.494292e+00   7.448176e+00   2.496099e-01
  1.499439e+00   7.437901e+00   2.492235e-01
  1.504586e+00   7.433815e+00   2.480450e-01
  1.509732e+00   7.031343e+00   2.486848e-01
  1.514879e+00   6.860737e+00   2.468559e-01
  1.520025e+00   6.661197e+00   2.461685e-01
  1.525172e+00   6.995347e+00   2.485564e-01
  1.530318e+00   6.344973e+00   2.456376e-01
  1.535465e+00   6.584787e+00   2.469003e-01
  1.540612e+00   6.418674e+00   2.459548e-01
  1.545758e+00   6.062419e+00   2.441651e-01
  1.550905e+00   5.971764e+00   2.443465e-01
  1.556051e+00   6.026199e+00   2.436370e-01
  1.561198e+00   6.621370e+00   2.441576e-01
  1.566344e+00   5.600063e+00   2.426372e-01
  1.571491e+00   5.353782e+00   2.422524e-01
  1.576638e+00   5.401755e+00   2.433837e-01
  1.581784e+00   5.389659e+00   2.409986e-01
  1.586931e+00   5.419062e+00   2.410133e-01
  1.592077e+00   5.995428e+00   2.412941e-01
  1.597224e+00   5.198728e+00   2.406341e-01
  1.602370e+00   5.044786e+00   2.397036e-01
  1.607517e+00   4.800285e+00   2.414688e-01
  1.612664e+00   4.550668e+00   2.385808e-01
  1.617810e+00   4.523200e+00   2.386681e-01
  1.622957e+00   4.630250e+00   2.383533e-01
  1.628103e+00   5.017230e+00   2.367560e-01
  1.633250e+00   4.643589e+00   2.380494e-01
  1.638396e+00   4.827906e+00   2.381725e-01
  1.643543e+00   4.188343e+00   2.349865e-01
