Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.613306e-01   9.777235e+01   9.982553e-01
  1.664772e-01   9.813412e+01   9.788985e-01
  1.716238e-01   9.811016e+01   9.395493e-01
  1.767703e-01   9.778722e+01   8.922521e-01
  1.819169e-01   9.767060e+01   8.820055e-01
  1.870635e-01   9.750847e+01   8.608880e-01
  1.922101e-01   9.689220e+01   8.165210e-01
  1.973566e-01   9.654647e+01   8.086780e-01
  2.025032e-01   9.680231e+01   7.879184e-01
  2.076498e-01   9.572205e+01   7.642431e-01
  2.127963e-01   9.585869e+01   7.598331e-01
  2.179429e-01   9.524556e+01   7.306322e-01
  2.230895e-01   9.542249e+01   7.085507e-01
  2.282360e-01   9.547379e+01   7.055079e-01
  2.333826e-01   9.446531e+01   6.919736e-01
  2.385292e-01   9.448338e+01   6.780084e-01
  2.436758e-01   9.398917e+01   6.668866e-01
  2.488223e-01   9.164023e+01   6.523699e-01
  2.539689e-01   9.126568e+01   6.402863e-01
  2.591155e-01   9.237945e+01   6.387139e-01
  2.642620e-01   9.090646e+01   6.204285e-01
  2.694086e-01   9.153372e+01   6.127394e-01
  2.745552e-01   9.075620e+01   6.036978e-01
  2.797018e-01   9.175981e+01   5.987929e-01
  2.848483e-01   9.117445e+01   5.879347e-01
  2.899949e-01   9.095291e+01   5.897309e-01
  2.951415e-01   9.016578e+01   5.939589e-01
  3.002880e-01   8.857892e+01   5.914700e-01
  3.054346e-01   8.824686e+01   5.916736e-01
  3.105812e-01   8.809321e+01   5.879945e-01
  3.157277e-01   8.762878e+01   5.851591e-01
  3.208743e-01   8.714633e+01   5.794935e-01
  3.260209e-01   8.679625e+01   5.814505e-01
  3.311675e-01   8.634321e+01   5.767034e-01
  3.363140e-01   8.684425e+01   5.792485e-01
  3.414606e-01   8.582973e+01   5.729265e-01
  3.466072e-01   8.554277e+01   5.652737e-01
  3.517537e-01   8.563857e+01   5.622300e-01
  3.569003e-01   8.453042e+01   5.491858e-01
  3.620469e-01   8.321948e+01   5.304605e-01
  3.671934e-01   8.297628e+01   5.230254e-01
  3.723400e-01   8.277214e+01   5.204033e-01
  3.774866e-01   8.236327e+01   5.105157e-01
  3.826332e-01   8.145783e+01   5.020071e-01
  3.877797e-01   8.091859e+01   4.993297e-01
  3.929263e-01   8.145513e+01   4.902393e-01
  3.980729e-01   8.137872e+01   4.863140e-01
  4.032194e-01   8.090678e+01   4.821496e-01
  4.083660e-01   7.846070e+01   4.684930e-01
  4.135126e-01   7.903848e+01   4.681306e-01
  4.186592e-01   7.876657e+01   4.656689e-01
  4.238057e-01   7.785511e+01   4.561563e-01
  4.289523e-01   7.760619e+01   4.528950e-01
  4.340989e-01   7.754420e+01   4.509481e-01
  4.392454e-01   7.673488e+01   4.467927e-01
  4.443920e-01   7.622718e+01   4.412293e-01
  4.495386e-01   7.630796e+01   4.379837e-01
  4.546851e-01   7.519285e+01   4.296818e-01
  4.598317e-01   7.574718e+01   4.301347e-01
  4.649783e-01   7.452177e+01   4.284609e-01
  4.701249e-01   7.378979e+01   4.317997e-01
  4.752714e-01   7.278133e+01   4.320098e-01
  4.804180e-01   7.281565e+01   4.359916e-01
  4.855646e-01   7.148154e+01   4.316545e-01
  4.907111e-01   7.193044e+01   4.343863e-01
  4.958577e-01   7.073521e+01   4.316787e-01
  5.010043e-01   7.025527e+01   4.308745e-01
  5.061509e-01   6.927026e+01   4.298808e-01
  5.112974e-01   6.922125e+01   4.337302e-01
  5.164440e-01   6.952385e+01   4.277404e-01
  5.215906e-01   6.811591e+01   4.254062e-01
  5.267371e-01   6.744441e+01   4.251485e-01
  5.318837e-01   6.788810e+01   4.234778e-01
  5.370303e-01   6.731072e+01   4.102688e-01
  5.421768e-01   6.571089e+01   4.054077e-01
  5.473234e-01   6.558373e+01   4.017396e-01
  5.524700e-01   6.517713e+01   3.934633e-01
  5.576166e-01   6.385473e+01   3.914057e-01
  5.627631e-01   6.471633e+01   3.876439e-01
  5.679097e-01   6.395196e+01   3.822811e-01
  5.730563e-01   6.327870e+01   3.798850e-01
  5.782028e-01   6.319857e+01   3.771596e-01
  5.833494e-01   6.165197e+01   3.704694e-01
  5.884960e-01   6.127224e+01   3.703228e-01
  5.936426e-01   6.145639e+01   3.707930e-01
  5.987891e-01   6.073253e+01   3.625710e-01
  6.039357e-01   5.984945e+01   3.618468e-01
  6.090823e-01   5.988792e+01   3.600110e-01
  6.142288e-01   5.816835e+01   3.531488e-01
  6.193754e-01   5.812076e+01   3.522073e-01
  6.245220e-01   5.799831e+01   3.508164e-01
  6.296685e-01   5.726952e+01   3.465704e-01
  6.348151e-01   5.720716e+01   3.462872e-01
  6.399617e-01   5.634941e+01   3.440181e-01
  6.451083e-01   5.556663e+01   3.396505e-01
  6.502548e-01   5.554890e+01   3.370989e-01
  6.554014e-01   5.486726e+01   3.356393e-01
  6.605480e-01   5.461039e+01   3.356154e-01
  6.656945e-01   5.346155e+01   3.381031e-01
  6.708411e-01   5.375260e+01   3.418301e-01
  6.759877e-01   5.292299e+01   3.399369e-01
  6.811343e-01   5.204451e+01   3.383283e-01
  6.862808e-01   5.149352e+01   3.378667e-01
  6.914274e-01   5.093151e+01   3.291621e-01
  6.965740e-01   5.100847e+01   3.254168e-01
  7.017205e-01   5.067383e+01   3.252208e-01
  7.068671e-01   4.991098e+01   3.195302e-01
  7.120137e-01   4.900095e+01   3.164161e-01
  7.171602e-01   4.926078e+01   3.176025e-01
  7.223068e-01   4.853198e+01   3.124625e-01
  7.274534e-01   4.799740e+01   3.093899e-01
  7.326000e-01   4.770483e+01   3.095882e-01
  7.377465e-01   4.681302e+01   3.034589e-01
  7.428931e-01   4.682970e+01   3.021228e-01
  7.480397e-01   4.608457e+01   3.007716e-01
  7.531862e-01   4.546542e+01   2.966057e-01
  7.583328e-01   4.479360e+01   2.971166e-01
  7.634794e-01   4.515293e+01   2.977600e-01
  7.686259e-01   4.403672e+01   2.940875e-01
  7.737725e-01   4.343210e+01   2.909566e-01
  7.789191e-01   4.284822e+01   2.920018e-01
  7.840657e-01   4.233009e+01   2.872603e-01
  7.892122e-01   4.208993e+01   2.857083e-01
  7.943588e-01   4.145248e+01   2.857318e-01
  7.995054e-01   4.131165e+01   2.825293e-01
  8.046519e-01   4.067447e+01   2.817295e-01
  8.097985e-01   3.998731e+01   2.804372e-01
  8.149451e-01   4.013168e+01   2.760918e-01
  8.200917e-01   3.902440e+01   2.754408e-01
  8.252382e-01   3.897268e+01   2.750447e-01
  8.303848e-01   3.859706e+01   2.708168e-01
  8.355314e-01   3.791985e+01   2.696769e-01
  8.406779e-01   3.778915e+01   2.691272e-01
  8.458245e-01   3.755978e+01   2.675524e-01
  8.509711e-01   3.698221e+01   2.662015e-01
  8.561176e-01   3.641431e+01   2.651114e-01
  8.612642e-01   3.597797e+01   2.640227e-01
  8.664108e-01   3.528789e+01   2.615261e-01
  8.715574e-01   3.470125e+01   2.620075e-01
  8.767039e-01   3.521330e+01   2.592427e-01
  8.818505e-01   3.402748e+01   2.575158e-01
  8.869971e-01   3.440906e+01   2.564145e-01
  8.921436e-01   3.386215e+01   2.573480e-01
  8.972902e-01   3.366365e+01   2.527787e-01
  9.024368e-01   3.317078e+01   2.544198e-01
