Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.304512e-01   1.870732e+01   1.135928e+00
  1.355978e-01   2.059261e+01   1.081087e+00
  1.407443e-01   1.921199e+01   1.017850e+00
  1.458909e-01   1.847567e+01   9.570609e-01
  1.510375e-01   2.009752e+01   9.008195e-01
  1.561841e-01   1.966468e+01   8.601803e-01
  1.613306e-01   1.931797e+01   8.163279e-01
  1.664772e-01   1.937630e+01   7.860093e-01
  1.716238e-01   1.793612e+01   7.498459e-01
  1.767703e-01   1.919101e+01   7.049409e-01
  1.819169e-01   1.856378e+01   6.901277e-01
  1.870635e-01   1.908525e+01   6.714053e-01
  1.922101e-01   1.881178e+01   6.356832e-01
  1.973566e-01   1.935685e+01   6.238335e-01
  2.025032e-01   1.880733e+01   6.018484e-01
  2.076498e-01   1.758056e+01   5.799199e-01
  2.127963e-01   1.946820e+01   5.733321e-01
  2.179429e-01   1.953833e+01   5.501130e-01
  2.230895e-01   1.846878e+01   5.304009e-01
  2.282360e-01   1.841869e+01   5.247388e-01
  2.333826e-01   1.852168e+01   5.122056e-01
  2.385292e-01   1.906253e+01   4.991151e-01
  2.436758e-01   1.867296e+01   4.889453e-01
  2.488223e-01   1.719168e+01   4.772381e-01
  2.539689e-01   1.853060e+01   4.663342e-01
  2.591155e-01   1.819965e+01   4.636761e-01
  2.642620e-01   1.793029e+01   4.523165e-01
  2.694086e-01   1.670426e+01   4.431675e-01
  2.745552e-01   1.682989e+01   4.352578e-01
  2.797018e-01   1.735229e+01   4.276345e-01
  2.848483e-01   1.747191e+01   4.218810e-01
  2.899949e-01   1.758018e+01   4.216689e-01
  2.951415e-01   1.801823e+01   4.238568e-01
  3.002880e-01   1.735875e+01   4.231114e-01
  3.054346e-01   1.747132e+01   4.233478e-01
  3.105812e-01   1.760576e+01   4.212286e-01
  3.157277e-01   1.767058e+01   4.177568e-01
  3.208743e-01   1.659812e+01   4.117840e-01
  3.260209e-01   1.745416e+01   4.128244e-01
  3.311675e-01   1.702308e+01   4.090340e-01
  3.363140e-01   1.665141e+01   4.089983e-01
  3.414606e-01   1.675083e+01   4.062316e-01
  3.466072e-01   1.643773e+01   4.021998e-01
  3.517537e-01   1.674975e+01   4.001069e-01
  3.569003e-01   1.642350e+01   3.897393e-01
  3.620469e-01   1.636186e+01   3.761117e-01
  3.671934e-01   1.619925e+01   3.710560e-01
  3.723400e-01   1.709529e+01   3.707312e-01
  3.774866e-01   1.545807e+01   3.623896e-01
  3.826332e-01   1.594958e+01   3.569415e-01
  3.877797e-01   1.592725e+01   3.562804e-01
  3.929263e-01   1.594402e+01   3.485451e-01
  3.980729e-01   1.521508e+01   3.448604e-01
  4.032194e-01   1.582778e+01   3.417761e-01
  4.083660e-01   1.570922e+01   3.346785e-01
  4.135126e-01   1.556446e+01   3.324616e-01
  4.186592e-01   1.519846e+01   3.322013e-01
  4.238057e-01   1.602514e+01   3.274944e-01
  4.289523e-01   1.527278e+01   3.237265e-01
  4.340989e-01   1.503463e+01   3.219579e-01
  4.392454e-01   1.537792e+01   3.204924e-01
  4.443920e-01   1.556635e+01   3.162031e-01
  4.495386e-01   1.498976e+01   3.126429e-01
